address,city,zip,tract
1416 34TH AVE,seattle,98122,78
3222 MCGRAW ST W A,seattle,98199,57
6413 ROOSEVELT WAY NE,seattle,98115,36
1900 W NICKERSON ST #108,seattle,98119,58.01
700 3RD AVE,seattle,98104,81
1805 QUEEN ANNE AVE N #100,seattle,98109,68
316 VIRGINIA ST,seattle,98121,72
4822 CALIFORNIA AVE SW,seattle,98116,105
4213 SW COLLEGE ST,seattle,98116,96
1604 N 34TH ST,seattle,98103,54
1933 1ST AVE,seattle,98101,80.02
2715 E CHERRY ST #B,seattle,98122,88
701 5TH AVE,seattle,98104,81
701 5TH AVE #106,seattle,98104,81
3005 NW 54TH ST,seattle,98107,32
2200 WESTLAKE AVE,seattle,98121,73
2701 E MADISON ST,seattle,98112,77
2805 E MADISON ST,seattle,98112,77
7850 GREENLAKE DR N,seattle,98103,46
420 BROADWAY AVE E,seattle,98102,75
1415 NW 70TH ST,seattle,98117,33
1435 1ST AVE,seattle,98101,81
2121 QUEEN ANNE AVE N,seattle,98109,68
2616 2ND AVE,seattle,98121,80.01
1001 4TH AVE #510,seattle,98104,67
1001 4TH AVE #50,seattle,98104,67
615 S KING ST,seattle,98104,91
7311 AURORA AVE N,seattle,98103,28
89 UNIVERSITY ST,seattle,98101,81
12325 30TH AVE NE,seattle,98125,7
6540 CALIFORNIA AVE SW,seattle,98136,106
11805 RENTON AVE S,seattle,98178,261
11805 RENTON AVE S,seattle,98178,261
14553 BOTHELL WAY NE,shoreline,98155,213
509 15TH AVE E,seattle,98112,75
1614 W DRAVUS ST,seattle,98119,58.01
7500 35TH AVE NE,seattle,98115,24
4100 BEACH DR SW,seattle,98116,97.01
1830 MINOR AVE,seattle,98101,73
340 WESTLAKE AVE N,seattle,98109,73
41 DRAVUS ST,seattle,98109,60
350 15TH AVE E,seattle,98112,76
1010 MADISON ST,seattle,98104,83
2605 E CHERRY ST,seattle,98122,88
14340 15TH AVE NE,seattle,98125,2
2020 WESTERN AVE,seattle,98121,80.02
8420 GREENWOOD AVE N,seattle,98103,28
2968 EASTLAKE AVE,seattle,98102,61
2228 2ND AVE,seattle,98121,80.01
93 PIKE ST,seattle,98101,81
401 NE NORTHGATE WAY 1102,seattle,98125,12
8617 35TH AVE NE,seattle,98115,21
6459 CALIFORNIA AVE SW,seattle,98136,106
1414 NE 42ND ST #103B,seattle,98105,53.01
170 S KING ST,seattle,98104,93
9452 35TH AVE SW,seattle,98126,114.02
526 QUEEN ANNE AVE N,seattle,98109,71
5807 4TH AVE S,seattle,98108,109
4920 S GENESEE ST,seattle,98118,101
2323 2ND AVE,seattle,98121,80.01
469 N 36TH ST #A,seattle,98103,49
6100 ROOSEVELT WAY NE,seattle,98115,44
1411 4TH AVE,seattle,98101,81
308 N 125TH ST,seattle,98133,4.02
5963 CORSON AVE S,seattle,98108,109
4003 STONE WAY N,seattle,98103,54
1120 HOWELL ST,seattle,98101,73
1430 HARVARD AVE 20,seattle,98122,84
4539 CALIFORNIA AVE SW,seattle,98116,105
140 4TH AVE N 130,seattle,98109,72
9000 RAINIER AVE S,seattle,98118,118
2123 N 40TH ST,seattle,98103,51
7520 35TH AVE NE,seattle,98115,24
4914 RAINIER AVE S,seattle,98118,103
1420 5TH AVE,seattle,98101,82
6015 PHINNEY AVE N,seattle,98103,35
324 BROADWAY E,seattle,98102,75
4559 UNIVERSITY WAY NE,seattle,98105,53.01
6058 CALIFORNIA AVE SW,seattle,98136,106
4537 UNIVERSITY WAY NE,seattle,98105,53.01
1920 DEXTER AVE N,seattle,98109,67
2305 NW MARKET ST,seattle,98107,47
5602 1ST AVE S,seattle,98108,109
403 15TH AVE E,seattle,98112,75
2901 NE BLAKELEY ST,seattle,98105,43.01
1531 MELROSE AVE E #-6,seattle,98122,84
658 S JACKSON ST,seattle,98104,92
9208 HOLMAN RD NW,seattle,98117,17.02
519 1ST AVE N,seattle,98109,71
4207 UNIVERSITY WAY NE,seattle,98105,53.01
2425 33RD AVE W,seattle,98199,57
1618 1/2 N 45TH ST,seattle,98103,50
3221 W MCGRAW ST,seattle,98199,56
6106 ROOSEVELT WAY NE,seattle,98115,44
999 3RD AVE,seattle,98104,81
1220 HOWELL ST,seattle,98101,73
600 University ST,seattle,98101,82
1520 4TH AVE,seattle,98101,81
4860 BEACON AVE S,seattle,98108,104.02
5307 BALLARD AVE NW,seattle,98107,47
5405 BALLARD AVE NW,seattle,98107,47
5606 1ST AVE S,seattle,98108,109
7115 WOODLAWN AVE NE,seattle,98115,36
4220 E MADISON ST,seattle,98112,63
7300 RAINIER AVE S,seattle,98118,111.02
3719 NE 45TH ST,seattle,98105,41
5501 30TH AVE NE,seattle,98105,42
6711 GREENWOOD AVE N,seattle,98103,35
805 S 112TH ST,seattle,98168,270
2501 4TH AVE,seattle,98121,72
2762 4TH AVE S,seattle,98134,93
8014 LAKE CITY WAY NE STE C,seattle,98115,26
1501 4TH AVE #118,seattle,98101,81
1511 7TH AVE,seattle,98101,82
13754 AURORA AVE N #D,seattle,98133,3
217 JAMES ST,seattle,98104,81
10055 16TH AVE SW,seattle,98146,266
2746 NE 45TH ST,seattle,98105,43.01
1530 POST ALY #B,seattle,98101,81
7902 35TH AVE SW,seattle,98126,115
4130 ROOSEVELT WAY NE,seattle,98105,53.01
1530 3RD AVE,seattle,98101,81
1507 QUEEN ANNE AVE N,seattle,98109,68
8515 35TH AVE NE,seattle,98115,21
1517 PIKE PL,seattle,98101,81
809 FAIRVIEW PL N,seattle,98109,66
11730 PINEHURST WAY NE,seattle,98125,7
1718 N 45TH ST,seattle,98103,50
17535 BALLINGER WAY NE,lake forest park,98155,214
1940 1ST AVE S,seattle,98134,93
8519 15TH AVE NW,seattle,98117,16
810 E ROY ST,seattle,98102,65
5517 ROOSEVELT WAY NE,seattle,98105,45
2801 WESTERN AVE #B,seattle,98121,80.01
8518 GREENWOOD AVE N,seattle,98103,17.01
1514 PIKE PL,seattle,98101,81
118 CHERRY ST,seattle,98104,81
4559 CALIFORNIA AVE SW,seattle,98116,105
1919 S JACKSON ST,seattle,98144,90
6415 8TH AVE NW,seattle,98107,33
4910 Leary AVE NW,seattle,98107,47
5300 15TH AVE NW,seattle,98107,47
10003 RAINIER AVE S,seattle,98118,119
5903 1ST AVE S,seattle,98108,109
6417 ROOSEVELT WAY NE STE 201,seattle,98115,36
6615 E MARGINAL WAY S,seattle,98108,109
806 NW 85TH ST,seattle,98117,17.02
424 MAYNARD AVE S,seattle,98104,91
1412 HARVARD AVE,seattle,98122,84
200 ROY ST 104,seattle,98109,70
235 BROADWAY AVE E,seattle,98102,74.02
600 PINE ST STE 405,seattle,98101,82
1213 MADISON ST,seattle,98104,84
2108 NE 65TH ST,seattle,98115,25
1514 PIKE PL,seattle,98101,81
1514 PIKE PL #8,seattle,98101,81
526 2ND AVE,seattle,98104,81
4743 BALLARD AVE NW #1B,seattle,98107,47
1415 1ST AVE,seattle,98101,81
9808 14TH AVE SW,seattle,98106,265
2040 WESTLAKE AVE N,seattle,98109,67
2801 ALASKAN WAY,seattle,98121,80.01
81 PIKE ST,seattle,98101,81
100 4TH AVE N,seattle,98109,72
2408 NW 80TH ST,seattle,98117,31
2901 E MADISON ST,seattle,98112,77
500 QUEEN ANNE AVE N,seattle,98109,71
10230 16TH AVE SW,seattle,98146,268.01
6417 LATONA AVE NE,seattle,98115,36
2666 ALKI AVE SW,seattle,98116,97.01
1112 PIKE ST,seattle,98101,83
3220 S HUDSON ST,seattle,98118,103
8501 5TH AVE NE,seattle,98115,19
1221 E PIKE ST,seattle,98122,75
8523 GREENWOOD AVE N,seattle,98103,17.01
925 4TH AVE,seattle,98104,81
12354 15TH AVE NE STE C,seattle,98125,7
1117 12TH AVE,seattle,98122,86
1321 1ST AVE,seattle,98101,81
12248 AURORA AVE N STE B,seattle,98133,6
4213 UNIVERSITY WAY NE,seattle,98105,53.01
4116 UNIVERSITY WAY NE,seattle,98105,53.01
1301 ALASKAN WAY,seattle,98101,81
4720 CALIFORNIA AVE SW,seattle,98116,105
4735 UNIVERSITY WAY NE,seattle,98105,53.01
4749 UNIVERSITY WAY NE,seattle,98105,53.01
622 1ST AVE N,seattle,98109,70
8310 5TH AVE NE,seattle,98115,27
2320 N 45TH ST,seattle,98103,51
719 E PIKE ST,seattle,98122,84
1721 1ST AVE S,seattle,98134,93
916 E JOHN ST,seattle,98102,75
5210 UNIVERSITY WAY NE,seattle,98105,44
3427 RAINIER AVE S,seattle,98144,101
2600 1ST AVE,seattle,98121,80.01
100 4TH AVE N #120,seattle,98109,72
13242 AURORA AVE N #105,seattle,98133,6
9025 25TH AVE SW,seattle,98126,114.02
2026 NW MARKET ST,seattle,98107,47
345 15TH AVE E,seattle,98112,75
4008 NE 55TH ST,seattle,98105,42
520 S JACKSON ST,seattle,98104,92
2681 NE UNIVERSITY VILLAGE ST,seattle,98105,41
1521 MELROSE AVE,seattle,98122,83
6261 13TH AVE S,seattle,98108,109
2853 NW MARKET ST,seattle,98107,32
4300 LEARY WAY NW,seattle,98107,48
6119 PHINNEY AVE N,seattle,98103,35
6012 PHINNEY AVE N,seattle,98103,35
432 BROADWAY AVE E,seattle,98102,75
617 BROADWAY AVE E,seattle,98102,74.01
446 TERRY AVE N,seattle,98109,73
4005 AIRPORT WAY S,seattle,98108,93
3526 FREMONT PL N,seattle,98103,49
1200 3rd AVE #110,seattle,98101,81
9749 HOLMAN RD NW,seattle,98117,14
1608 N 45TH ST,seattle,98103,50
700 5TH AVE #602,seattle,98104,85
4922 S GENESEE ST,seattle,98118,101
501 SENECA ST,seattle,98101,81
83 SPRING ST,seattle,98104,81
1916 POST ALY,seattle,98101,80.02
13754 AURORA AVE N STE C,seattle,98133,3
1420 5TH AVE #203,seattle,98101,82
1224 1ST AVE,seattle,98101,81
4401 WALLINGFORD AVE N,seattle,98103,50
2401 NW Market ST,seattle,98107,32
86 PINE ST,seattle,98101,81
7016 E MARGINAL WAY S,seattle,98108,109
9304 RAINIER AVE S,seattle,98118,118
5100 RAINIER AVE S,seattle,98118,103
11064 LAKE CITY WAY NE,seattle,98125,10
2621 5TH AVE,seattle,98121,72
4307 FREMONT AVE N,seattle,98103,49
1410 NE 40TH ST,seattle,98105,53.02
8855 9TH AVE SW,seattle,98106,113
321 MERCER ST,seattle,98109,71
11546 15TH AVE NE,seattle,98125,7
11546 15TH AVE NE,seattle,98125,7
5146 25TH AVE NE,seattle,98105,43.01
4719 CALIFORNIA AVE SW,seattle,98116,105
2008 NW 56TH ST,seattle,98107,47
4226 UNIVERSITY WAY NE,seattle,98105,53.01
400 N 35TH ST,seattle,98103,49
12526 LAKE CITY WAY NE,seattle,98125,1
2230 1ST AVE,seattle,98121,80.01
4141 UNIVERSITY WAY NE,seattle,98105,53.01
1902 PIKE PL,seattle,98101,80.02
823 5TH AVE N,seattle,98109,67
4505 39TH AVE SW,seattle,98126,78
7347 35TH AVE NE,seattle,98115,38
13520 AURORA AVE N,seattle,98133,6
103 YESLER WAY,seattle,98104,92
1612 N 45TH ST,seattle,98103,50
3756 RAINIER AVE S #A,seattle,98144,101
9400 35TH AVE NE,seattle,98115,22
102 1ST AVE S,seattle,98104,92
4759 BROOKLYN AVE NE,seattle,98105,53.01
5315 BALLARD AVE NW,seattle,98107,47
999 NW LEARY WAY,seattle,98107,47
1111 3RD AVE #1,seattle,98101,81
4721 CALIFORNIA AVE SW,seattle,98116,105
300 5TH AVE #150,seattle,98104,92
3920 STONE WAY N,seattle,98103,54
309 NE 45TH ST,seattle,98105,52
1530 POST ALY #3A,seattle,98101,81
2123 QUEEN ANNE AVE N,seattle,98109,68
1316 NE 43RD ST,seattle,98105,53.01
3520 SW GENESEE ST,seattle,98126,98
3200 15TH AVE W,seattle,98119,58.01
2576 AURORA AVE N,seattle,98109,60
4301 INTERLAKE AVE N,seattle,98103,50
14356 AURORA AVE N,seattle,98133,3
823 3RD AVE,seattle,98104,81
5605 DELRIDGE WAY SW,seattle,98106,107.01
1519 PIKE PL,seattle,98101,81
12343 LAKE CITY WAY NE,seattle,98125,7
516 15TH AVE E,seattle,98112,76
1511 PIKE PL,seattle,98101,81
4226 E MADISON ST,seattle,98112,63
3861 DELRIDGE WAY SW,seattle,98106,99
2010 WESTERN AVE,seattle,98121,80.02
1253 THOMAS ST,seattle,98109,73
4903 RAINIER AVE S,seattle,98118,103
3501 SW AVALON WAY,seattle,98126,105
2226 1ST AVE,seattle,98121,80.01
2963 4TH AVE S,seattle,98134,93
200 TAYLOR AVE N,seattle,98109,72
305 HARRISON ST,seattle,98109,71
305 HARRISON ST,seattle,98109,71
6417 ROOSEVELT WAY NE #106,seattle,98115,36
727 E PIKE ST,seattle,98122,84
401 NE NORTHGATE WAY 1119,seattle,98125,12
808 3RD AVE 190,seattle,98104,81
1601 HARVARD AVE,seattle,98122,84
4138 UNIVERSITY WAY NE,seattle,98105,53.01
325 5TH AVE N,seattle,98109,71
2631 NE UNIVERSITY VILLAGE MALL,seattle,98105,41
2120 W EMERSON PL,seattle,98199,58.01
9736 GREENWOOD AVE N,seattle,98103,17.01
8549 GREENWOOD AVE N,seattle,98103,17.01
7719 N GREENWOOD AVE N,seattle,98103,29
1515 QUEEN ANNE AVE N,seattle,98109,68
1433 4TH AVE,seattle,98101,81
550 12TH AVE,seattle,98122,86
621 BROADWAY AVE E,seattle,98102,74.01
2332 1ST AVE,seattle,98121,80.01
1425 31ST AVE S,seattle,98144,95
9413 16TH AVE SW,seattle,98106,114.02
8801 ROOSEVELT WAY NE,seattle,98115,19
1102 N 34TH ST,seattle,98103,54
3228 1ST AVE S,seattle,98134,93
4869 RAINIER AVE S,seattle,98118,103
1660 HARBOR AVE SW,seattle,98126,96
3456 15TH AVE W,seattle,98119,58.01
1240 S JACKSON ST,seattle,98144,90
1533 PIKE PL,seattle,98101,81
3418 W MCGRAW ST,seattle,98199,56
5401 25TH AVE NE,seattle,98105,43.02
1508 MELROSE AVE,seattle,98122,84
205 1ST AVE S,seattle,98104,92
622 BROADWAY E,seattle,98102,65
606 5TH AVE S,seattle,98104,91
600 E PINE ST,seattle,98122,84
4752 UNIVERSITY WAY NE,seattle,98105,53.01
406 5TH AVE S,seattle,98104,91
508 S KING ST,seattle,98104,91
1118 E PIKE ST,seattle,98122,75
1536 PIKE PL,seattle,98101,81
615 3RD AVE,seattle,98104,81
8410 5TH AVE,seattle,98115,27
2720 3RD AVE #5,seattle,98121,72
4857 RAINIER AVE S,seattle,98118,103
4449 CALIFORNIA AVE SW,seattle,98116,98
720 OLIVE WAY,seattle,98101,73
422 YALE AVE N,seattle,98109,73
1501 4TH AVE,seattle,98101,81
110 12TH AVE,seattle,98122,86
555 NORTHGATE MALL SPC 413,seattle,98125,12
450 NE 100TH ST,seattle,98125,19
120 BLANCHARD ST,seattle,98121,80.01
516 MAYNARD AVE S,seattle,98104,91
553 1ST AVE S,seattle,98104,93
8537 15TH AVE NW,seattle,98117,16
1113 6TH AVE,seattle,98101,82
5502 25TH AVE NE,seattle,98105,43.01
1400 1ST AVE,seattle,98101,81
310 NE 72ND ST,seattle,98115,36
473 N 36TH ST,seattle,98103,49
418 8TH AVE S,seattle,98104,91
5327 DENVER AVE S,seattle,98108,109
4710 42ND AVE SW,seattle,98116,105
700 5TH AVE,seattle,98104,85
1629 EASTLAKE AVE E,seattle,98102,66
13055 LAKE CITY WAY NE,seattle,98125,1
214 1ST AVE S,seattle,98104,92
4548 CALIFORNIA AVE SW,seattle,98116,105
4129 UNIVERSITY WAY NE,seattle,98105,53.01
3311 W MCGRAW ST,seattle,98199,56
2253 N 56TH ST,seattle,98103,46
1616 EASTLAKE AVE E,seattle,98102,66
4336 ROOSEVELT WAY NE #D/E,seattle,98105,53.01
1517 SW 104TH ST,seattle,98146,268.01
6421 15TH AVE NW,seattle,98107,33
6017 AIRPORT WAY S,seattle,98108,109
2005 NW MARKET ST,seattle,98107,47
304 6TH AVE S,seattle,98104,92
803 E PIKE ST,seattle,98122,84
703 N 34TH ST,seattle,98103,49
700 E PINE ST,seattle,98122,84
2200 2ND AVE,seattle,98121,80.01
2801 E CHERRY ST,seattle,98122,88
6501 ROOSEVELT WAY NE,seattle,98115,36
727 PINE ST,seattle,98101,82
2518 BEACON AVE S,seattle,98144,100.02
5701 15th AVE NW #A,seattle,98107,47
401 NE NORTHGATE WAY #VC-3,seattle,98125,12
7419 GREENWOOD AVE N,seattle,98103,29
1635 8TH AVE,seattle,98101,82
1225 4TH AVE,seattle,98101,81
3701 NE 45TH ST,seattle,98105,41
9820 AURORA AVE N,seattle,98103,13
164 S WASHINGTON ST,seattle,98104,92
8550 GREENWOOD AVE N,seattle,98103,17.01
2719 E MADISON ST,seattle,98112,77
805 NE 65TH ST,seattle,98115,36
109 YESLER WAY,seattle,98104,92
3510 FREMONT AVE N,seattle,98103,49
2508 ALKI AVE SW,seattle,98116,97.01
407 CEDAR ST,seattle,98121,72
4868 RAINIER AVE S,seattle,98118,103
1525 10TH AVE,seattle,98122,75
1707 NW MARKET ST,seattle,98107,47
317 W GALER ST,seattle,98119,70
2114 N 45TH ST,seattle,98103,51
456 12TH AVE,seattle,98122,86
1100 PIKE ST,seattle,98101,83
2201 4TH AVE S,seattle,98134,93
235 SUMMIT AVE E,seattle,98102,74.02
2325 NW MARKET ST,seattle,98107,47
1706 RAINIER AVE S,seattle,98144,94
5425 RUSSELL AVE NW,seattle,98107,47
507 15TH AVE E,seattle,98112,75
18220 INTERNATIONAL BL,sea tac,98188,284.02
2514 E CHERRY ST,seattle,98122,88
4510 CALIFORNIA AVE SW,seattle,98116,105
6501 35TH AVE SW,seattle,98126,106
4301 LEARY WAY NW,seattle,98107,48
2421 1ST AVE,seattle,98121,80.02
1000 2ND AVE,seattle,98104,81
614 MAYNARD AVE S,seattle,98104,91
1913 N 45TH ST,seattle,98103,51
9826 16TH AVE SW,seattle,98106,265
5506 22ND AVE NW,seattle,98107,47
5210 ROOSEVELT WAY NE #B,seattle,98105,44
707 S KING ST,seattle,98104,91
3642 33RD AVE S C-6,seattle,98144,101
701 5TH AVE 211,seattle,98104,81
8539 15TH AVE NW,seattle,98117,16
15252 AURORA AVE N,shoreline,98133,209
323 NW 85TH ST,seattle,98117,29
2208 QUEEN ANNE AVE N,seattle,98109,68
5603 4TH AVE S,seattle,98108,109
2401 UTAH AVE S,seattle,98134,93
2800 1ST AVE,seattle,98121,80.01
2918 SW AVALON WAY,seattle,98126,99
1401 3RD AVE,seattle,98101,81
9029 25TH AVE SW,seattle,98126,114.02
209 2ND AVE S,seattle,98104,92
1904 PIKE PL,seattle,98101,80.02
823 3RD AVE #105,seattle,98104,81
1125 E OLIVE ST STE A,seattle,98122,75
8345 15TH AVE NW,seattle,98117,30
404 N 36TH ST,seattle,98103,49
5518 20TH AVE NW,seattle,98107,47
2010 4TH AVE,seattle,98121,72
2830 NW MARKET ST,seattle,98107,32
544 ELLIOTT AVE W,seattle,98119,71
2232 QUEEN ANNE AVE N,seattle,98109,68
4900 RAINIER AVE S,seattle,98118,103
305 LENORA ST,seattle,98121,72
2021 RAINIER AVE S,seattle,98144,94
821 1ST AVE,seattle,98104,81
14303 AURORA AVE N,seattle,98133,4.01
103 1ST AVE S,seattle,98104,92
1815 N 45TH ST #103,seattle,98103,51
2043 EASTLAKE AVE E,seattle,98102,66
1016 MADISON ST,seattle,98104,83
3301 4TH AVE S,seattle,98134,93
9102 RAINIER AVE S,seattle,98118,118
1420 5TH AVE,seattle,98101,82
7845 LAKE CITY WAY NE,seattle,98115,26
1520 7TH AVE,seattle,98101,82
210 BROADWAY E,seattle,98102,75
2231 32ND AVE W,seattle,98199,56
8502 AURORA AVE N,seattle,98103,18
4135 UNIVERSITY WAY NE,seattle,98105,53.01
107 Pike ST,seattle,98101,81
2366 EASTLAKE AVE E,seattle,98102,61
105 W MERCER ST,seattle,98119,71
12336 31ST AVE NE,seattle,98125,7
524 15TH AVE E,seattle,98112,76
4622 26TH AVE NE,seattle,98105,99
8600 14TH AVE S,seattle,98108,112
6411 LATONA AVE NE,seattle,98115,36
709 N 35TH ST,seattle,98103,49
4203 SW ADMIRAL WAY,seattle,98116,98
301 2ND AVE EXT S,seattle,98104,92
1170 REPUBLICAN ST #B,seattle,98109,73
9627 15TH AVE SW,seattle,98106,265
8004 GREENWOOD AVE N,seattle,98103,28
501 23RD AVE,seattle,98122,87
808 POST AVE,seattle,98104,81
925 4TH AVE #430,seattle,98104,81
2201 QUEEN ANNE AVE N,seattle,98109,68
1024 S BAILEY ST,seattle,98108,109
3820 S FERDINAND ST,seattle,98118,103
1510 NE 117TH ST STE B,seattle,98125,7
1140 NW MARKET ST,seattle,98107,47
1226 S JACKSON ST,seattle,98144,90
612 2ND AVE,seattle,98104,81
5509 UNIVERSITY WAY NE #C,seattle,98105,44
9828 15TH AVE SW STE B,seattle,98106,265
213 BROADWAY AVE E,seattle,98102,74.02
4142 BROOKLYN AVE NE,seattle,98105,53.01
10231 16TH AVE SW,seattle,98146,266
4918 RAINIER AVE S,seattle,98118,103
4305 1/2 UNIVERSITY WAY NE,seattle,98105,53.01
94 COLUMBIA ST,seattle,98104,81
4411 STONE WAY N,seattle,98103,50
1429 1ST AVE,seattle,98101,81
3416 W MCGRAW ST,seattle,98199,56
6508 ROOSEVELT WAY NE,seattle,98115,26
2695 NE VILLAGE LN,seattle,98105,41
8516 GREENWOOD AVE N,seattle,98103,17.01
4106 BROOKLYN AVE NE,seattle,98105,53.01
10641 16TH AVE SW,seattle,98146,267
1531 MELROSE AVE,seattle,98122,84
